nom,dci1,dosage,unite_dosage,forme,presentation,ppv,ph,prix_br,princeps_generique,taux_remboursement,nom_ar,search_name
cardinor,CARVEDILOL,6.25,MG,COMPRIME,1 BOITE 30 COMPRIME,47.0,29.4,47.0,G,70%,كاردينور,cardinor
amuchin 10,CHLOROXYDANT / ELECTROLYTIQUE,0.11 / 1.8,G / G,SOLUTION POUR APPLICATION LOCALE,1 FLACON 200 ML,19.55,0.0,19.55,G,0%,اموكهين 10,amuchin 10
tavanic,LEVOFLOXACINE,500,MG,SOLUTION POUR PERFUSION,1 FLACON 100 ML,373.0,247.0,373.0,P,70%,تافانيك,tavanic
daily gé,LEVONORGESTREL / ETHINYLESTRADIOL,0.05 / 0.03,MG / MG,COMPRIME ENROBE,1 BOITE 63 COMPRIME ENROBE,54.6,36.1,54.6,G,0%,دايلي جÉ,daily ge
ciprofloxacine mylan 200 mg/100 ml,CIPROFLOXACINE,200,MG,SOLUTION POUR PERFUSION,10 POCHE 100 ML,854.0,566.0,854.0,G,70%,كيبروفلوكساكيني ميلان 200 مج/100 مل,ciprofloxacine mylan 200 mg 100 ml
rhinathiol enfant et nourrisson,CARBOCYSTEINE,2,%,SIROP,1 FLACON 125 ML,18.55,12.3,18.55,P,0%,رهيناتهيول ينفانت يت نوورريسسون,rhinathiol enfant et nourrisson
folinate de calcium aguettant 50 mg,FOLINATE DE CALCIUM,50,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 10 FLACON,677.0,448.0,677.0,G,70%,فوليناتي دي كالكيوم اجويتتانت 50 مج,folinate de calcium aguettant 50 mg
r.o.r / trimovax,VACCIN R.O.R,,,POUDRE POUR SUSPENSION INJECTABLE,1 SERINGUE .5 ML,117.0,72.9,117.0,P,70%,ر.و.ر / تريموفاكس,r o r trimovax
solian 100 mg/ml,AMISULPRIDE,100,MG/ML,SOLUTION BUVABLE,1 FLACON 60 ML,367.4,243.0,367.4,P,0%,سوليان 100 مج/مل,solian 100 mg ml
zildam,PIROXICAM,20,MG,SUPPOSITOIRE,1 BOITE 10 SUPPOSITOIRE,35.7,22.2,35.7,G,70%,زيلدام,zildam
tareg,VALSARTAN,80,MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE,162.1,101.3,148.6,P,70%,تاريج,tareg
hemopur ac1,CONCENTRE POUR HEMODIALYSE,,,SOLUTION POUR HEMODIALYSE,1 BIDON 10 L,161.4,100.9,161.4,G,70%,هيموبور اك1,hemopur ac1
equoral,CICLOSPORINE,50,MG,CAPSULE MOLLE,1 BOITE 30 CAPSULE,699.0,463.0,699.0,G,70%,يقوورال,equoral
activarol c100,ACIDE ASCORBIQUE (VITAMINE C) / HEMATOPORPHYRINE,100 / 0.003,MG / G,SOLUTION BUVABLE,1 BOITE 24 AMPOULE,30.6,20.2,30.6,P,0%,اكتيفارول ك100,activarol c100
pravator,PRAVASTATINE,20,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,99.1,61.9,99.1,G,70%,برافاتور,pravator
gonal-f 150 ui,FOLLITROPINE ALFA,150,UI,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,616.0,407.5,616.0,P,0%,جونال-ف 150 وي,gonal f 150 ui
a-gram,AMOXICILLINE,250,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,32.7,21.6,32.7,G,70%,ا-جرام,a gram
nasacort,TRIAMCINOLONE,55,µG,SUSPENSION POUR PULVERISATION NASALE,1 FLACON 15 ML,107.4,66.9,107.4,P,70%,ناساكورت,nasacort
sotalex,SOTALOL,160,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,79.6,52.6,79.6,P,70%,سوتاليكس,sotalex
climaston,ESTRADIOL / DYDROGESTERONE,1 / 5,MG / MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE,92.0,60.9,92.0,P,0%,كليماستون,climaston
acepril,PERINDOPRIL,2,MG,COMPRIME,1 BOITE 28 COMPRIME,44.0,27.5,44.0,G,70%,اكيبريل,acepril
lorazepam pharma,LORAZEPAM,2.5,MG,COMPRIME,1 BOITE 30 COMPRIME,21.0,13.1,21.0,G,70%,لورازيبام بهارما,lorazepam pharma
co-olmetec,OLMESARTAN / HYDROCHLOROTHIAZIDE,20 / 12.5,MG / MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,252.0,157.7,252.0,P,70%,كو-ولميتيك,co olmetec
imodium,LOPERAMIDE,2,MG,GELULE,1 BOITE 20 GELULE,30.5,20.2,30.5,P,0%,يموديوم,imodium
tetraxim,VACCIN D.T.COQ.P,,,PREPARATION INJECTABLE,1 SERINGUE .5 ML,144.0,89.7,144.0,P,70%,تيتراكسيم,tetraxim
geluprane,PARACETAMOL,500,MG,GELULE,1 BOITE 16 GELULE,16.6,10.4,15.3,P,70%,جيلوبراني,geluprane
letrozol gt,LETROZOLE,2.5,MG,COMPRIME SECABLE,1 BOITE 60 COMPRIME SECABLE,1110.0,834.0,1110.0,G,70%,ليتروزول جت,letrozol gt
melix,GLIBENCLAMIDE,5,MG,COMPRIME,1 BOITE 30 COMPRIME,19.5,12.2,19.5,G,70%,ميليكس,melix
clavulin,AMOXICILLINE / ACIDE CLAVULANIQUE,1 / 200,G / MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,47.8,29.8,40.0,P,70%,كلافولين,clavulin
nolvadex,TAMOXIFENE,10,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,132.5,87.6,78.6,P,70%,نولفاديكس,nolvadex
sandostatine *,OCTREOTIDE,100,µG,SOLUTION INJECTABLE,1 BOITE 6 AMPOULE,532.0,353.0,532.0,P,70%,ساندوستاتيني *,sandostatine
biafine,TROLAMINE,0.67,G,EMULSION POUR APPLICATION LOCALE,1 TUBE 93 G,44.0,29.1,44.0,P,0%,بيافيني,biafine
singulair,MONTELUKAST,4,MG,GRANULE,1 BOITE 28 SACHET,299.0,197.8,299.0,P,0%,سينجولاير,singulair
sandocal,CALCIUM,500,MG,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 10 SACHET,28.5,17.8,28.5,P,70%,ساندوكال,sandocal
topaal,ACIDE ALGINIQUE / ALUMINIUM HYDROXYDE,200 / 30,MG / MG,COMPRIME A CROQUER,1 BOITE 42 COMPRIME,35.0,23.1,35.0,P,0%,توباال,topaal
stimol,CITRULINE MALEATE,1,G,SOLUTION BUVABLE,1 BOITE 20 AMPOULE BUVABLE,46.0,30.4,46.0,P,0%,ستيمول,stimol
ossopan,COMPLEXE OSSEINE HYDROXYAPATITE,600,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME,25.4,0.0,25.4,P,0%,وسسوبان,ossopan
inalap 5 mg,ENALAPRIL,5,MG,COMPRIME,1 BOITE 28 COMPRIME,79.0,52.2,79.0,G,70%,ينالاب 5 مج,inalap 5 mg
vaccin atntidiphterique antitetanique,ANATOXINE TETANIQUE / ANATOXINE DIPHTERIQUE,,NA / NA,PREPARATION INJECTABLE,1 AMPOULE 1 ML,15.0,9.3,15.0,P,70%,فاككين اتنتيديبهتيريقوي انتيتيتانيقوي,vaccin atntidiphterique antitetanique
nomyc,FLUCONAZOLE,150,MG,GELULE,1 BOITE 1 GELULE,25.0,15.6,25.0,G,70%,نوميك,nomyc
cortivent,BECLOMETASONE,50,µG,SUSPENSION POUR INHALATION,1 FLACON 200 DOSE,55.0,34.4,55.0,G,70%,كورتيفينت,cortivent
cataflam,DICLOFENAC,50,MG,COMPRIME ENROBE,1 BOITE 20 COMPRIME,45.5,28.4,32.4,P,70%,كاتافلام,cataflam
oxone 1g/5 ml im,CEFTRIAXONE,1,G,POUDRE POUR PREPARATION INJECTABLE,1 BOITE 1 FLACON + AMPOULE,85.0,53.0,85.0,G,70%,وكسوني 1ج/5 مل يم,oxone 1g 5 ml im
sulfobactin,THIAMPHENICOL,500,MG,COMPRIME,1 BOITE 50 COMPRIME,134.6,83.9,134.6,G,70%,سولفوباكتين,sulfobactin
triatec,RAMIPRIL,1.25,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,103.0,64.4,40.0,P,70%,ترياتيك,triatec
candicid,FLUCONAZOLE,150,MG,GELULE,1 BOITE 4 GELULE,114.0,71.0,114.0,G,70%,كانديكيد,candicid
trinomyc,FLUCONAZOLE,2,MG,SOLUTION POUR PERFUSION,1 FLACON 25 ML,78.0,48.6,78.0,G,70%,ترينوميك,trinomyc
spasmag,MAGNESIUM SULFATE / LEVURE CEREVISIAE,1.2 / 100,G / MG,SOLUTION BUVABLE,1 BOITE 30 AMPOULE BUVABLE,52.9,34.9,52.9,G,0%,سباسماج,spasmag
doxine,DOXYCYCLINE,100,MG,COMPRIME ENROBE,1 BOITE 5 COMPRIME,17.3,0.0,17.3,G,70%,دوكسيني,doxine
dopamine aguettant 40mg/ml,DOPAMINE,40,MG,SOLUTION POUR PERFUSION,1 BOITE 50 AMPOULE INJECTABLE,0.0,484.2,484.2,G,0%,دوباميني اجويتتانت 40مج/مل,dopamine aguettant 40mg ml
aviranz,EFAVIRENZ,200,MG,GELULE,1 BOITE 90 GELULE,543.0,361.0,543.0,G,70%,افيرانز,aviranz
cisplatine ebewe,CISPLATINE,50,MG,SOLUTION POUR PERFUSION,1 BOITE 1 FLACON,133.0,83.1,133.0,G,70%,كيسبلاتيني يبيوي,cisplatine ebewe
algantil,IBUPROFENE,200,MG,COMPRIME ENROBE,1 BOITE 20 COMPRIME,19.7,12.3,19.7,G,70%,الجانتيل,algantil
gastrografine,AMIDOTRIZOATE DE MEGLUMINE ET DE SODIUM,370,MG,SOLUTION BUVABLE OU RECTALE,1 FLACON 100 ML,150.7,99.7,150.7,P,0%,جاستروجرافيني,gastrografine
tilcotil,TENOXICAM,20,MG,SUPPOSITOIRE,1 BOITE 10 SUPPOSITOIRE,85.6,56.6,85.6,P,70%,تيلكوتيل,tilcotil
premocefal,CEFADROXIL,500,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,70.0,43.6,70.0,G,70%,بريموكيفال,premocefal
mibral,AMLODIPINE,5,MG,COMPRIME,1 BOITE 60 COMPRIME,125.0,78.1,125.0,G,70%,ميبرال,mibral
solian 100 mg,AMISULPRIDE,100,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME SECABLE,139.6,92.3,139.6,P,0%,سوليان 100 مج,solian 100 mg
colpotrophine,PROMESTRIENE,10,MG,CAPSULE VAGINALE,1 BOITE 20 CAPSULE GYNECOLOGIQUE,65.4,43.3,65.4,P,0%,كولبوتروبهيني,colpotrophine
carteol lp,CARTEOLOL,1,%,COLLYRE LP,1 FLACON 3 ML,72.8,45.4,72.8,P,70%,كارتيول لب,carteol lp
brexin,PIROXICAM BETA CYCLODEXTRINE,20,MG,COMPRIME EFFERVESCENT,1 BOITE 20 COMPRIME,100.4,62.6,100.4,P,70%,بريكسين,brexin
salbumol,SALBUTAMOL,0.5,MG/ML,SOLUTION INJECTABLE,1 BOITE 6 AMPOULE INJECTABLE,25.6,16.0,25.6,P,70%,سالبومول,salbumol
mezor 20 mg,ESOMEPRAZOLE,20,MG,GELULE GASTRO-RESISTANTE,1 BOITE 14 GELULE GASTRO-RESISTANTE,86.9,57.5,86.9,G,0%,ميزور 20 مج,mezor 20 mg
berocca,MULTIVITAMINES ET MINERAUX,,,COMPRIME EFFERVESCENT,1 BOITE 20 COMPRIME EFFERVESCENT,70.0,46.3,70.0,P,0%,بيروككا,berocca
roxam,PIROXICAM,20,MG,SOLUTION INJECTABLE,1 BOITE 2 AMPOULE INJECTABLE,23.0,14.3,23.0,G,70%,روكسام,roxam
decapeptyl lp,TRIPTORELINE,11.25,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON + AMPOULE,3546.0,3239.0,3546.0,P,70%,ديكابيبتيل لب,decapeptyl lp
griseo salicylee,GRISEOFULVINE / ACIDE SALICYLIQUE,5 / 3,% / %,POMMADE,1 TUBE 15 G,12.6,8.3,12.6,G,0%,جريسيو ساليكيليي,griseo salicylee
ibuphil,IBUPROFENE,2,%,SIROP,1 FLACON 100 ML,16.5,10.3,16.5,G,70%,يبوبهيل,ibuphil
cephyl,MULTIPLE,,,COMPRIME,1 BOITE 20 COMPRIME,26.0,17.1,26.0,P,0%,كيبهيل,cephyl
risperdal,RISPERIDONE,2,MG,COMPRIME PELLICULE SECABLE,1 BOITE 60 COMPRIME,577.0,382.0,577.0,P,70%,ريسبيردال,risperdal
topsyne apg,FLUOCINONIDE,0.05,%,POMMADE,1 TUBE 15 G,24.2,16.0,24.2,P,0%,توبسيني ابج,topsyne apg
lamisil,TERBINAFINE,1,%,CREME,1 TUBE 15 G,52.8,32.9,45.0,P,70%,لاميسيل,lamisil
lantus,INSULINE HUMAINE,100,UI,SOLUTION INJECTABLE LP,1 BOITE 1 FLACON,517.0,343.0,517.0,P,70%,لانتوس,lantus
diprosalic,BETAMETHASONE / ACIDE SALICYLIQUE,15 / 900,MG / MG,POMMADE,1 TUBE 30 G,37.6,24.5,37.6,P,0%,ديبروساليك,diprosalic
ciproxine,CIPROFLOXACINE,100,MG,SOLUTION POUR PERFUSION,1 FLACON 50 ML,253.0,167.4,80.0,P,70%,كيبروكسيني,ciproxine
moduretic,AMILORIDE / HYDROCHLOROTHIAZIDE,5 / 50,MG / MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,42.4,26.5,42.4,P,70%,مودوريتيك,moduretic
systral,CHLORPHENOXAMINE,15,MG,CREME,1 TUBE 20 G,16.6,11.0,16.6,P,0%,سيسترال,systral
systral c,CHLORPHENOXAMINE / CAFEINE,20 / 50,MG / MG,COMPRIME DRAGEIFIE,1 BOITE 20 COMPRIME DRAGEFIE,14.0,9.3,14.0,P,0%,سيسترال ك,systral c
aclasta 5mg/100ml,ACIDE ZOLEDRONIQUE,5,MG/100ML,SOLUTION POUR PERFUSION,1 BOITE 1 FLACON,0.0,3677.0,3677.0,P,0%,اكلاستا 5مج/100مل,aclasta 5mg 100ml
puregon,FOLLITROPINE BETA,50,UI,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 AMPOULE INJECTABLE,338.9,244.0,338.9,P,0%,بوريجون,puregon
bactox,AMOXICILLINE,500,MG,PREPARATION INJECTABLE,1 BOITE 1 FLACON,10.4,6.9,10.4,G,70%,باكتوكس,bactox
avocomb,LAMIVUDINE / ZIDOVUDINE,150 / 300,MG / MG,COMPRIME PELLICULE,1 BOITE 60 COMPRIME,615.0,408.0,615.0,G,70%,افوكومب,avocomb
isolone,PREDNISOLONE,50,MG,COMPRIME,1 BOITE 20 COMPRIME,85.8,53.6,85.8,G,70%,يسولوني,isolone
strattera 40 mg,ATOMOXETINE,40,MG,GELULE,1 BOITE 28 GELULE,1066.3,705.4,1066.3,P,0%,ستراتتيرا 40 مج,strattera 40 mg
insuline mixtard 30 hm penfill,INSULINE HUMAINE,100,UI,SUSPENSION INJECTABLE INTERMEDIAIRE,1 CARTOUCHE 3 ML,73.0,48.3,73.0,P,70%,ينسوليني ميكستارد 30 هم بينفيلل,insuline mixtard 30 hm penfill
gonal-f 1050 ui,FOLLITROPINE ALFA,1050,UI,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON,4055.8,2682.9,4055.8,P,0%,جونال-ف 1050 وي,gonal f 1050 ui
oxiflor,OFLOXACINE,200,MG,COMPRIME PELLICULE,1 BOITE 10 COMPRIME,65.0,40.5,65.0,G,70%,وكسيفلور,oxiflor
"innohep 10 000 ui anti-xa/0,5 ml,tinzaparine,20000,ui,solution injectable,1 boite 2 seringue preremplie,304.4,0.0,304.4,p,70%,""يننوهيب 10 000 وي انتي-كسا/0,5 مل"",innohep 10 000 ui anti xa 0 5 ml,,,,,,,,,,,,"
oxaliplatine win 5 mg/ml,OXALIPLATINE,50,MG,POUDRE POUR SOLUTION POUR PERFUSION,1 FLACON 36 ML,1049.0,771.0,1049.0,G,70%,وكساليبلاتيني وين 5 مج/مل,oxaliplatine win 5 mg ml
pectryl,BROMHEXINE / SULFOGAICOLE,40 / 4,MG / G,SIROP,1 FLACON 150 ML,22.7,15.0,22.7,G,0%,بيكتريل,pectryl
gentamicine llorente,GENTAMICINE,120,MG,SOLUTION INJECTABLE,1 BOITE 6 AMPOULE INJECTABLE,111.9,69.7,111.9,G,70%,جينتاميكيني للورينتي,gentamicine llorente
thiopental biochemie,THIOPENTAL,1,G,POUDRE POUR PREPARATION INJECTABLE,1 BOITE 25 FLACON,0.0,409.7,409.7,G,0%,تهيوبينتال بيوكهيميي,thiopental biochemie
antinorex,CYPROHEPTADINE,4,MG,COMPRIME,1 BOITE 30 COMPRIME,17.1,11.3,17.1,G,0%,انتينوريكس,antinorex
eludril,CHLORHEXIDINE / TETRACAINE,50 / 15,% / %,COLLUTOIRE,1 FLACON 55 ML,22.7,15.0,22.7,P,0%,يلودريل,eludril
stocrin,EFAVIRENZ,600,MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME,705.0,468.0,422.0,P,70%,ستوكرين,stocrin
mobic,MELOXICAM,15,MG,SUPPOSITOIRE,1 BOITE 12 SUPPOSITOIRE,122.4,81.0,122.4,P,70%,موبيك,mobic
abboticine,ERYTHROMYCINE,200,MG,GRANULE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,26.8,16.7,26.8,P,70%,اببوتيكيني,abboticine
starmox,AMOXICILLINE,500,MG,COMPRIME DISPERSIBLE,1 BOITE 12 COMPRIME,34.6,21.5,34.6,G,70%,ستارموكس,starmox
oracilline,PHENOXYMETHYLPENICILLINE,1,MUI,COMPRIME SECABLE,1 BOITE 12 COMPRIME,40.3,25.1,32.9,P,70%,وراكيلليني,oracilline
troxine,ROXITHROMYCINE,300,MG,COMPRIME PELLICULE,1 BOITE 16 COMPRIME,203.0,134.3,203.0,G,70%,تروكسيني,troxine
avandamet,ROSIGLITAZONE / METFORMINE,1 / 500,MG / MG,COMPRIME PELLICULE,1 BOITE 14 COMPRIME PELLICULE,28.7,19.0,28.7,P,0%,افانداميت,avandamet
alvityl,VITAMINES,,,COMPRIME ENROBE,1 BOITE 30 COMPRIME ENROBE,31.4,20.7,31.4,P,0%,الفيتيل,alvityl
mucosteine,CARBOCYSTEINE,5,%,SIROP,1 FLACON 250 ML,37.2,0.0,37.2,G,0%,موكوستييني,mucosteine
otrivine,XYLOMETAZOLINE,0.1,%,SOLUTION POUR PULVERISATION NASALE,1 FLACON 10 ML,19.35,12.8,19.35,P,0%,وتريفيني,otrivine
revolade 50mg,ELTROMBOPAG,50,MG,COMPRIME PELLICULE,1 BOITE 14 COMPRIME PELLICULE,7348.0,4861.0,7348.0,P,0%,ريفولادي 50مج,revolade 50mg
bactrim,SULFAMETHOXAZOLE / TRIMETHOPRIME,400 / 80,MG / MG,SOLUTION POUR PERFUSION,1 BOITE 30 AMPOULE INJECTABLE,0.0,174.5,174.5,P,0%,باكتريم,bactrim
trigynon,LEVONORGESTREL / ETHINYLESTRADIOL,0.05 / 0.03,MG / MG,COMPRIME ENROBE,1 BOITE 21 DRAGEE,21.4,0.0,21.4,P,0%,تريجينون,trigynon
mencevax ac,VACCIN ANTIMENINGOCOCCIQUE A ET C,,,PREPARATION INJECTABLE,1 BOITE 1 FLACON,180.0,112.1,180.0,P,70%,مينكيفاكس اك,mencevax ac
tenocan,ATENOLOL,100,MG,COMPRIME,1 BOITE 28 COMPRIME,83.1,51.9,83.1,G,70%,تينوكان,tenocan
theostat lp,THEOPHYLLINE,100,MG,COMPRIME SECABLE LP,1 BOITE 30 COMPRIME,17.5,11.0,17.5,P,70%,تهيوستات لب,theostat lp
diclomax,DICLOFENAC,75,MG,GELULE LP,1 BOITE 20 GELULE,51.0,31.8,51.0,G,70%,ديكلوماكس,diclomax
dipicor,AMLODIPINE,10,MG,COMPRIME,1 BOITE 60 COMPRIME,186.5,116.6,186.5,G,70%,ديبيكور,dipicor
hyzaar,LOSARTAN / HYDROCHLOROTHIAZIDE,50 / 12.5,MG / MG,COMPRIME ENROBE,1 BOITE 28 COMPRIME,156.7,97.9,126.0,P,70%,هيزاار,hyzaar
alfaproxine,CIPROFLOXACINE,500,MG,COMPRIME PELLICULE,1 BOITE 2 COMPRIME,36.0,22.4,36.0,G,70%,الفابروكسيني,alfaproxine
clarinase rebetabs,LORATADINE / PSEUDOEPHEDRINE,60 / 5,MG / MG,COMPRIME ENROBE LM,1 BOITE 14 COMPRIME,73.8,48.5,73.8,P,0%,كلاريناسي ريبيتابس,clarinase rebetabs
mivacron,MIVACURIUM,20,MG,SOLUTION INJECTABLE,1 BOITE 10 AMPOULE INJECTABLE,0.0,450.0,450.0,P,0%,ميفاكرون,mivacron
urbanyl,CLOBAZAM,10,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,23.55,0.0,23.55,P,70%,وربانيل,urbanyl
neoclav 100mg/12.5mg/ml enfant,AMOXICILLINE / ACIDE CLAVULANIQUE,100 / 12.5,MG / MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,63.0,39.2,63.0,G,70%,نيوكلاف 100مج/12.5مج/مل ينفانت,neoclav 100mg 12 5mg ml enfant
navelbine,VINORELBINE,10,MG,SOLUTION INJECTABLE,10 FLACON 1 ML,1764.0,1507.0,1764.0,P,70%,نافيلبيني,navelbine
savarine,PROGUANIL / CHLOROQUINE,200 / 100,MG / MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME,167.7,104.5,167.7,P,70%,سافاريني,savarine
tetralysal,LYMECYCLINE,150,MG,GELULE,1 BOITE 16 GELULE,49.6,32.8,49.6,P,0%,تيتراليسال,tetralysal
levitra,VARDENAFIL,20,MG,COMPRIME PELLICULE,1 BOITE 2 COMPRIME,320.0,211.7,320.0,P,0%,ليفيترا,levitra
buscopan,N-BUTYL HYOSCINE,20,MG,SOLUTION INJECTABLE,1 BOITE 6 AMPOULE INJECTABLE,23.3,14.5,17.7,P,70%,بوسكوبان,buscopan
clamoxyl,AMOXICILLINE,500,MG,COMPRIME DISPERSIBLE,1 BOITE 24 COMPRIME,65.4,40.8,65.4,P,70%,كلاموكسيل,clamoxyl
calcium alko,CALCIUM,0.87,%,SOLUTION INJECTABLE,5 AMPOULE 10 ML,58.7,38.8,58.7,P,70%,كالكيوم الكو,calcium alko
az,AZITHROMYCINE,250,MG,GELULE,1 BOITE 6 GELULE,137.7,85.8,137.7,G,70%,از,az
bactroban,MUPIROCINE,2,%,POMMADE,1 TUBE 15 G,59.75,0.0,59.75,P,0%,باكتروبان,bactroban
spibac 3 mui,SPIRAMYCINE,3,MUI,COMPRIME PELLICULE,1 BOITE 16 COMPRIME PELLICULE,91.0,60.2,91.0,G,0%,سبيباك 3 موي,spibac 3 mui
rovamycine,SPIRAMYCINE,3,MUI,COMPRIME PELLICULE,1 BOITE 10 COMPRIME,101.0,63.0,73.9,P,70%,روفاميكيني,rovamycine
ranimat,RANITIDINE,300,MG,COMPRIME,1 BOITE 14 COMPRIME,59.0,39.0,59.0,G,70%,رانيمات,ranimat
analgyl,IBUPROFENE,200,MG,COMPRIME ENROBE,1 BOITE 20 COMPRIME,17.9,11.2,17.9,G,70%,انالجيل,analgyl
hypril,ENALAPRIL / HYDROCHLOROTHIAZIDE,20 / 12.5,MG / MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME,71.5,44.7,71.5,G,70%,هيبريل,hypril
neoclav,AMOXICILLINE / ACIDE CLAVULANIQUE,500 / 62.5,MG / MG,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 16 SACHET,82.0,51.1,82.0,G,70%,نيوكلاف,neoclav
erbitux 5 mg/ml,CETUXIMAB,5,MG/ML,SOLUTION POUR PERFUSION,1 FLACON 100 ML,0.0,10808.0,10808.0,P,0%,يربيتوكس 5 مج/مل,erbitux 5 mg ml
veraskin,ALOE VERA,4,%,GEL,1 TUBE 80 G,39.8,26.3,39.8,P,0%,فيراسكين,veraskin
zovas,SIMVASTATINE,20,MG,COMPRIME ENROBE SECABLE,1 BOITE 30 COMPRIME PELLICULE,124.0,77.5,124.0,G,70%,زوفاس,zovas
xylonor spray,LIDOCAINE / CETRIMIDE,15 / 0.15,% / G/100G,SOLUTION DENTAIRE,1 FLACON 36 G,200.0,0.0,200.0,P,0%,كسيلونور سبراي,xylonor spray
surgam,ACIDE TIAPROFENIQUE,200,MG,COMPRIME SECABLE,1 BOITE 20 COMPRIME,55.4,34.5,40.0,P,70%,سورجام,surgam
astaph,FLUCLOXACILLINE,250,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,40.3,25.1,40.3,G,70%,استابه,astaph
tasigna 200mg,NILOTINIB,200,MG,CAPSULE,1 BOITE 112 CAPSULE,0.0,33717.2,33717.2,P,0%,تاسيجنا 200مج,tasigna 200mg
glycemat,GLICLAZIDE,80,MG,COMPRIME SECABLE,1 BOITE 20 COMPRIME,26.7,16.7,26.7,G,70%,جليكيمات,glycemat
flagyl,METRONIDAZOLE,4,%,SUSPENSION BUVABLE,1 FLACON 120 ML,32.9,20.5,24.5,P,70%,فلاجيل,flagyl
daonil,GLIBENCLAMIDE,5,MG,COMPRIME SECABLE,1 BOITE 20 COMPRIME,25.2,15.7,17.1,P,70%,داونيل,daonil
pevaryl,ECONAZOLE,1,%,CREME,1 TUBE 30 G,50.9,31.7,33.1,P,70%,بيفاريل,pevaryl
aler z,CETIRIZINE,10,MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE,84.0,52.3,84.0,G,70%,الير ز,aler z
artotec,DICLOFENAC / MISOPROSTOL,50 / 0.2,MG / MG,COMPRIME GASTRO-RESISTANT,1 BOITE 30 COMPRIME,95.0,62.8,95.0,P,0%,ارتوتيك,artotec
asepsil 10,AMPHOLYTE G,10,G,SOLUTION POUR APPLICATION LOCALE,1 FLACON 250 ML,20.6,0.0,20.6,G,0%,اسيبسيل 10,asepsil 10
curam 1g/125mg,AMOXICILLINE / ACIDE CLAVULANIQUE,1 / 125,G / MG,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 16 SACHET,116.0,76.7,116.0,G,0%,كورام 1ج/125مج,curam 1g 125mg
vitamine c,ACIDE ASCORBIQUE (VITAMINE C),1,G,COMPRIME EFFERVESCENT,1 BOITE 10 COMPRIME EFFERVESCENT,14.8,9.8,14.8,G,0%,فيتاميني ك,vitamine c
ampicilline llorente,AMPICILLINE,500,MG,GELULE,1 BOITE 12 GELULE,36.7,22.9,36.7,G,70%,امبيكيلليني للورينتي,ampicilline llorente
icanal retard,NICARDIPINE,40,MG,COMPRIME LP,1 BOITE 30 COMPRIME,140.25,87.7,140.25,G,70%,يكانال ريتارد,icanal retard
novex,ENOXAPARINE,6000,UI ANTI-XA,SOLUTION INJECTABLE,2 SERINGUE .6 ML,152.0,95.0,152.0,G,70%,نوفيكس,novex
cordarone,AMIODARONE,200,MG,COMPRIME SECABLE,1 BOITE 40 COMPRIME,89.7,56.1,89.7,P,70%,كورداروني,cordarone
destec 0.5 mg/ml,DESLORATADINE,2.5,MG,SIROP,1 FLACON 100 ML,36.0,23.8,36.0,G,0%,ديستيك 0.5 مج/مل,destec 0 5 mg ml
sevredol,MORPHINE,10,MG,COMPRIME PELLICULE SECABLE,1 BOITE 14 COMPRIME,35.0,21.8,35.0,P,70%,سيفريدول,sevredol
iopidine,APRACLONIDINE,1,%,COLLYRE,1 BOITE 2 RECIPIENT,184.0,0.0,184.0,P,70%,يوبيديني,iopidine
nocand 200 mg,FLUCONAZOLE,200,MG,GELULE,1 BOITE 7 GELULE,98.0,64.8,98.0,G,0%,نوكاند 200 مج,nocand 200 mg
mycoster,CICLOPIROXOLAMINE,1,%,SOLUTION POUR APPLICATION LOCALE,1 FLACON 30 ML,43.5,27.1,43.5,P,70%,ميكوستير,mycoster
